,Figure2_2539,Figure2_1581,Figure5_1866,Figure1_2320
0_A_Steps2BN,0,0,0,0
1_A_Steps2BN,1,1,1,1
1_B_Steps2BN,1,0,0,1
2_A_Steps2BN,2,2,2,2
3_A_Steps2BN,3,3,3,3
3_B_Steps2BN,3,3,3,3
3_C_Steps2BN,0,0,3,0
4_A_Steps2BN,4,4,4,4
4_B_Steps2BN,4,4,4,4
4_C_Steps2BN,4,4,0,4
4_D_Steps2BN,4,4,0,0
5_A_Steps2BN,5,0,5,5
5_B_Steps2BN,5,0,5,5
5_C_Steps2BN,5,0,0,5
5_D_Steps2BN,5,0,0,5
0_A_2ndDeg,0,0,0,0
1_A_2ndDeg,2,0,0,2
1_B_2ndDeg,2,0,0,2
2_A_2ndDeg,4,2,2,4
3_A_2ndDeg,4,2,2,4
3_B_2ndDeg,4,2,2,4
3_C_2ndDeg,0,0,2,0
4_A_2ndDeg,4,2,4,4
4_B_2ndDeg,4,2,4,4
4_C_2ndDeg,4,2,0,6
4_D_2ndDeg,4,2,0,0
5_A_2ndDeg,6,0,6,6
5_B_2ndDeg,6,0,6,6
5_C_2ndDeg,6,0,0,6
5_D_2ndDeg,6,0,0,6
0_A_3rdDeg,0,0,0,0
1_A_3rdDeg,0,0,0,0
1_B_3rdDeg,0,0,0,0
2_A_3rdDeg,0,0,0,0
3_A_3rdDeg,3,3,0,3
3_B_3rdDeg,3,3,0,3
3_C_3rdDeg,0,0,0,0
4_A_3rdDeg,6,6,0,6
4_B_3rdDeg,6,6,0,6
4_C_3rdDeg,6,6,0,3
4_D_3rdDeg,6,6,0,0
5_A_3rdDeg,6,0,0,6
5_B_3rdDeg,6,0,0,6
5_C_3rdDeg,6,0,0,6
5_D_3rdDeg,6,0,0,6
0_A_4thDeg,0,0,0,0
1_A_4thDeg,0,0,0,0
1_B_4thDeg,0,0,0,0
2_A_4thDeg,0,0,0,0
3_A_4thDeg,0,0,4,0
3_B_4thDeg,0,0,4,0
3_C_4thDeg,0,0,4,0
4_A_4thDeg,0,0,4,0
4_B_4thDeg,0,0,4,0
4_C_4thDeg,0,0,0,0
4_D_4thDeg,0,0,0,0
5_A_4thDeg,0,0,4,0
5_B_4thDeg,0,0,4,0
5_C_4thDeg,0,0,0,0
5_D_4thDeg,0,0,0,0
0_A_NodeScore,0,0,0,0
1_A_NodeScore,3,1,1,3
1_B_NodeScore,3,0,0,3
2_A_NodeScore,6,4,4,6
3_A_NodeScore,10,8,9,10
3_B_NodeScore,10,8,9,10
3_C_NodeScore,0,0,9,0
4_A_NodeScore,14,12,12,14
4_B_NodeScore,14,12,12,14
4_C_NodeScore,14,12,0,13
4_D_NodeScore,14,12,0,0
5_A_NodeScore,17,0,15,17
5_B_NodeScore,17,0,15,17
5_C_NodeScore,17,0,0,17
5_D_NodeScore,17,0,0,17
